Algorithm,Width,Height,Threads,Seed,FillPercent,Run,TimeMs
OMP_Rows,500,500,6,42,0.40,24,56.189000
OMP_Rows,500,500,6,42,0.40,AVG,54.106200
OMP_Rows,500,500,7,42,0.40,0,57.794000
OMP_Rows,500,500,7,42,0.40,1,55.812000
OMP_Rows,500,500,7,42,0.40,2,57.224000
OMP_Rows,500,500,7,42,0.40,3,58.967000
OMP_Rows,500,500,7,42,0.40,4,56.419000
OMP_Rows,500,500,7,42,0.40,5,55.899000
OMP_Rows,500,500,7,42,0.40,6,56.789000
OMP_Rows,500,500,7,42,0.40,7,57.624000
OMP_Rows,500,500,7,42,0.40,8,56.237000
OMP_Rows,500,500,7,42,0.40,9,56.124000
OMP_Rows,500,500,7,42,0.40,10,55.810000
OMP_Rows,500,500,7,42,0.40,11,56.269000
OMP_Rows,500,500,7,42,0.40,12,55.888000
OMP_Rows,500,500,7,42,0.40,13,56.563000
OMP_Rows,500,500,7,42,0.40,14,56.454000
OMP_Rows,500,500,7,42,0.40,15,56.800000
OMP_Rows,500,500,7,42,0.40,16,56.853000
OMP_Rows,500,500,7,42,0.40,17,57.278000
OMP_Rows,500,500,7,42,0.40,18,58.714000
OMP_Rows,500,500,7,42,0.40,19,56.840000
OMP_Rows,500,500,7,42,0.40,20,56.861000
OMP_Rows,500,500,7,42,0.40,21,56.822000
OMP_Rows,500,500,7,42,0.40,22,58.149000
OMP_Rows,500,500,7,42,0.40,23,59.964000
OMP_Rows,500,500,7,42,0.40,24,58.787000
OMP_Rows,500,500,7,42,0.40,AVG,56.496778
OMP_Rows,500,500,8,42,0.40,0,65.368000
OMP_Rows,500,500,8,42,0.40,1,55.546000
OMP_Rows,500,500,8,42,0.40,2,56.087000
OMP_Rows,500,500,8,42,0.40,3,55.434000
OMP_Rows,500,500,8,42,0.40,4,55.969000
OMP_Rows,500,500,8,42,0.40,5,55.516000
OMP_Rows,500,500,8,42,0.40,6,55.790000
OMP_Rows,500,500,8,42,0.40,7,64.769000
OMP_Rows,500,500,8,42,0.40,8,67.921000
OMP_Rows,500,500,8,42,0.40,9,67.129000
OMP_Rows,500,500,8,42,0.40,10,69.263000
OMP_Rows,500,500,8,42,0.40,11,69.180000
OMP_Rows,500,500,8,42,0.40,12,68.326000
OMP_Rows,500,500,8,42,0.40,13,68.488000
OMP_Rows,500,500,8,42,0.40,14,68.647000
OMP_Rows,500,500,8,42,0.40,15,70.681000
OMP_Rows,500,500,8,42,0.40,16,67.566000
OMP_Rows,500,500,8,42,0.40,17,56.903000
OMP_Rows,500,500,8,42,0.40,18,57.292000
OMP_Rows,500,500,8,42,0.40,19,66.610000
OMP_Rows,500,500,8,42,0.40,20,56.225000
OMP_Rows,500,500,8,42,0.40,21,74.095000
OMP_Rows,500,500,8,42,0.40,22,68.991000
OMP_Rows,500,500,8,42,0.40,23,56.615000
OMP_Rows,500,500,8,42,0.40,24,55.960000
OMP_Rows,500,500,8,42,0.40,AVG,62.974840
OMP_Rows,500,500,12,42,0.40,0,83.385000
OMP_Rows,500,500,12,42,0.40,1,87.651000
OMP_Rows,500,500,12,42,0.40,2,85.757000
OMP_Rows,500,500,12,42,0.40,3,88.679000
OMP_Rows,500,500,12,42,0.40,4,88.063000
OMP_Rows,500,500,12,42,0.40,5,83.757000
OMP_Rows,500,500,12,42,0.40,6,77.561000
OMP_Rows,500,500,12,42,0.40,7,84.924000
OMP_Rows,500,500,12,42,0.40,8,78.859000
OMP_Rows,500,500,12,42,0.40,9,86.195000
OMP_Rows,500,500,12,42,0.40,10,80.262000
OMP_Rows,500,500,12,42,0.40,11,76.930000
OMP_Rows,500,500,12,42,0.40,12,76.800000
OMP_Rows,500,500,12,42,0.40,13,76.926000
OMP_Rows,500,500,12,42,0.40,14,78.319000
OMP_Rows,500,500,12,42,0.40,15,85.448000
OMP_Rows,500,500,12,42,0.40,16,86.004000
OMP_Rows,500,500,12,42,0.40,17,87.592000
OMP_Rows,500,500,12,42,0.40,18,85.989000
OMP_Rows,500,500,12,42,0.40,19,86.008000
OMP_Rows,500,500,12,42,0.40,20,92.561000
OMP_Rows,500,500,12,42,0.40,21,86.759000
OMP_Rows,500,500,12,42,0.40,22,80.636000
OMP_Rows,500,500,12,42,0.40,23,80.186000
OMP_Rows,500,500,12,42,0.40,24,82.260000
OMP_Rows,500,500,12,42,0.40,AVG,83.122917
OMP_Rows,500,500,16,42,0.40,0,103.779000
OMP_Rows,500,500,16,42,0.40,1,105.940000
OMP_Rows,500,500,16,42,0.40,2,109.156000
OMP_Rows,500,500,16,42,0.40,3,107.759000
OMP_Rows,500,500,16,42,0.40,4,114.163000
OMP_Rows,500,500,16,42,0.40,5,107.369000
OMP_Rows,500,500,16,42,0.40,6,103.491000
OMP_Rows,500,500,16,42,0.40,7,106.083000
OMP_Rows,500,500,16,42,0.40,8,103.556000
OMP_Rows,500,500,16,42,0.40,9,106.482000
OMP_Rows,500,500,16,42,0.40,10,100.663000
OMP_Rows,500,500,16,42,0.40,11,100.821000
OMP_Rows,500,500,16,42,0.40,12,102.262000
